figure,panel,claim,summary,uncertainty,unit,labels,collision_check,visual_review
physical_details_panda_saddle_p0_u,row3_B0,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row3_B1,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row3_B2,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row3_G,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row4_B0,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row4_B1,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row4_B2,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row4_G,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row1_B0,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row1_B1,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row1_B2,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row1_G,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row2_B0,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row2_B1,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row2_B2,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row2_G,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row3_B0,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row3_B1,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row3_B2,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row3_G,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row4_B0,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row4_B1,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row4_B2,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_cylinder_p0_u,row4_G,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row1_B0,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row1_B1,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row1_B2,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row1_G,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row2_B0,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row2_B1,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row2_B2,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row2_G,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row3_B0,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row3_B1,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row3_B2,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row3_G,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row4_B0,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row4_B1,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row4_B2,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_plane_p0_u,row4_G,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row1_B0,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row1_B1,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row1_B2,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row1_G,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row2_B0,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row2_B1,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row2_B2,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row2_G,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row3_B0,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row3_B1,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row3_B2,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row3_G,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row4_B0,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row4_B1,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row4_B2,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_ur5e_saddle_p0_u,row4_G,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
